status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10155608796386336,0,0,0,0,0,0,0,1,7,0,1,0,50.35,0.0,1.0
15704546335_10155608636331336,0,0,0,0,0,0,0,2,8,1,1,0,50.15,0.0,0.0
15704546335_10155608621291336,0,0,0,1,1,0,0,2,5,0,0,0,50.083333333333336,1.0,0.0
15704546335_10155608614986336,0,0,0,0,0,0,0,2,7,0,0,0,50.19230769230769,0.0,0.0
15704546335_10155608626771336,0,0,0,0,0,0,0,1,9,0,2,0,50.26315789473684,0.0,5.0
15704546335_10155608302676336,0,0,0,0,0,0,0,1,8,0,1,0,50.28125,0.0,1.0
15704546335_10155608365201336,0,0,0,0,1,0,0,2,7,0,0,0,50.23076923076923,1.0,1.0
15704546335_10155608436826336,0,0,0,0,0,0,0,1,9,0,0,0,50.30769230769231,0.0,0.0
15704546335_10155608477701336,0,0,0,0,0,0,0,3,7,0,1,0,50.138888888888886,0.0,0.0
15704546335_10155607887321336,0,0,0,0,1,0,0,2,7,1,2,0,50.19047619047619,0.0,1.0
15704546335_10155608504931336,0,0,0,0,1,0,0,3,4,3,1,0,50.03125,3.0,0.0
15704546335_10155608308621336,0,0,0,0,2,0,0,1,4,0,2,0,50.31818181818182,0.0,1.0
15704546335_10155607548881336,0,0,0,0,1,0,0,0,8,0,1,0,50.333333333333336,0.0,1.0
15704546335_10155607499161336,0,0,0,0,0,0,0,0,11,0,1,0,50.4,1.0,1.0
15704546335_10155604429816336,0,0,0,0,0,0,0,0,7,0,0,0,50.291666666666664,0.0,0.0
15704546335_10155606919501336,0,0,0,0,2,0,0,1,7,0,1,0,50.3,0.0,2.0
15704546335_10155602750591336,0,0,0,0,0,0,0,0,8,0,1,0,50.34615384615385,0.0,0.0
15704546335_10155591867796336,0,0,0,0,0,0,0,2,8,0,5,0,50.34375,1.0,0.0
15704546335_10155603174621336,0,0,0,0,0,0,0,1,9,1,3,0,50.3235294117647,0.0,2.0
15704546335_10155603260666336,0,0,0,1,1,0,0,2,4,0,3,0,50.214285714285715,0.0,1.0
15704546335_10155603179901336,0,0,0,0,2,0,0,0,6,0,2,0,50.45454545454545,0.0,0.0
15704546335_10155603888871336,0,0,0,0,0,0,0,1,9,0,0,0,50.30769230769231,0.0,0.0
15704546335_10155603894101336,0,0,0,0,0,0,0,3,8,0,1,0,50.15,0.0,2.0
15704546335_10155603961566336,0,0,0,0,0,0,0,1,8,0,1,0,50.30769230769231,0.0,0.0
15704546335_10155603354696336,0,0,0,1,0,0,0,1,5,0,2,0,50.25,0.0,0.0
15704546335_10155603164401336,0,0,0,0,0,0,0,1,8,0,2,0,50.375,2.0,0.0
15704546335_10155602715011336,0,0,0,0,0,0,0,1,6,0,1,0,50.3,0.0,1.0
15704546335_10155599548051336,0,0,0,0,2,0,0,1,8,0,2,0,50.36666666666667,0.0,0.0
15704546335_10155597585786336,0,0,0,0,0,0,0,1,7,0,0,0,50.3,0.0,2.0
15704546335_10155599868591336,0,0,0,0,0,0,0,0,8,0,1,0,50.333333333333336,0.0,0.0
15704546335_10155599605456336,0,0,0,0,0,0,0,1,6,0,0,0,50.25,0.0,0.0
15704546335_10155599853186336,0,0,0,0,1,0,0,0,8,0,1,0,50.45454545454545,1.0,0.0
15704546335_10155599841216336,0,0,0,1,2,0,0,1,9,0,1,0,50.31578947368421,2.0,0.0
15704546335_10155601321551336,0,0,0,0,0,0,0,0,9,0,1,0,50.36666666666667,0.0,3.0
15704546335_10155597841376336,0,0,0,1,0,0,0,0,11,0,0,0,50.294117647058826,1.0,0.0
15704546335_10155599862451336,0,0,0,0,1,0,0,0,10,0,1,0,50.35294117647059,0.0,0.0
15704546335_10155599347101336,0,0,0,0,2,0,0,1,5,0,0,0,50.3,0.0,1.0
15704546335_10155599229931336,0,0,0,0,0,0,0,3,6,0,1,0,50.142857142857146,0.0,1.0
15704546335_10155597671476336,0,0,0,0,0,0,0,0,8,0,1,0,50.375,0.0,2.0
15704546335_10155599313861336,0,0,0,0,0,0,0,0,6,0,0,0,50.42857142857143,0.0,0.0
15704546335_10155599052816336,0,0,0,0,0,0,0,2,8,0,1,0,50.19444444444444,0.0,0.0
15704546335_10155592510961336,0,0,0,0,0,0,0,2,8,0,0,0,50.27272727272727,1.0,0.0
15704546335_10155597969916336,0,0,0,0,0,0,0,0,8,0,0,0,50.36363636363637,1.0,0.0
15704546335_10155599744131336,0,0,0,0,1,0,0,0,6,0,0,0,50.25,0.0,0.0
15704546335_10155599548721336,0,0,0,0,1,0,0,0,5,0,0,0,50.3,0.0,1.0
15704546335_10155599820831336,0,0,0,0,1,0,0,2,6,0,2,0,50.26923076923077,0.0,2.0
15704546335_10155599382466336,0,0,0,0,1,0,0,0,7,0,1,0,50.40909090909091,0.0,0.0
15704546335_10155599627956336,0,0,0,0,0,0,0,0,5,0,1,0,50.42857142857143,0.0,0.0
15704546335_10155599525426336,0,0,0,1,0,0,0,2,9,0,2,0,50.2,0.0,3.0
15704546335_10155599296051336,0,0,0,0,0,0,0,1,8,0,1,0,50.333333333333336,0.0,2.0
