status_id,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
155869377766434_1888954571124564,0,0,0,0,0,0,0,4,4,0,1,0,50.03846153846154,0.0,1.0
155869377766434_1888913727795315,0,0,0,1,0,0,0,2,8,0,1,0,50.1764705882353,1.0,0.0
155869377766434_1888874751132546,0,0,0,0,1,0,0,2,4,0,2,0,50.208333333333336,0.0,0.0
155869377766434_1888837224469632,0,0,0,1,0,0,0,1,5,0,4,0,50.26923076923077,0.0,0.0
155869377766434_1888800321139989,0,0,0,0,1,0,0,2,4,0,0,0,50.1875,1.0,0.0
155869377766434_1888767884476566,0,0,0,0,1,0,0,2,6,1,1,0,50.19230769230769,0.0,1.0
155869377766434_1888695217817166,0,0,0,1,0,0,0,3,3,0,0,0,49.94444444444444,0.0,1.0
155869377766434_1888613761158645,0,0,0,2,0,0,0,3,5,0,0,0,50.0,0.0,2.0
155869377766434_1888511057835582,0,0,0,1,0,0,0,1,5,0,2,0,50.22727272727273,1.0,0.0
155869377766434_1888466314506723,0,0,0,1,0,0,0,2,4,0,2,0,50.15,0.0,1.0
155869377766434_1888423457844342,0,0,0,1,1,0,0,0,10,0,0,0,50.333333333333336,0.0,1.0
155869377766434_1888286284524726,0,0,0,0,2,0,0,2,4,0,0,0,50.22727272727273,0.0,0.0
155869377766434_1888227614530593,0,0,0,0,2,0,0,1,5,0,1,0,50.291666666666664,0.0,1.0
155869377766434_1888173884535966,0,0,0,0,0,0,0,0,7,0,2,0,50.357142857142854,0.0,0.0
155869377766434_1888076954545659,0,0,0,0,1,0,0,1,6,0,2,0,50.30769230769231,0.0,1.0
155869377766434_1887987117887976,0,0,0,0,2,0,0,0,5,0,0,0,50.4375,0.0,0.0
155869377766434_1887893254564029,0,0,0,1,2,0,0,1,4,0,0,0,50.22222222222222,1.0,0.0
155869377766434_1887789281241093,0,0,0,0,1,0,0,3,4,0,0,0,50.09090909090909,1.0,1.0
155869377766434_1887712384582116,0,0,0,1,1,0,0,2,5,0,2,0,50.19230769230769,0.0,3.0
155869377766434_1887663801253641,0,0,0,0,1,0,0,4,7,0,1,0,50.166666666666664,2.0,0.0
155869377766434_1887623101257711,0,0,0,0,2,0,0,1,8,0,1,0,50.38461538461539,0.0,0.0
155869377766434_1887516804601674,0,0,0,0,0,0,0,2,6,0,1,0,50.22727272727273,0.0,0.0
155869377766434_1887410224612332,0,0,0,0,2,0,0,1,4,0,0,0,50.27777777777778,0.0,0.0
155869377766434_1887301337956554,0,0,0,0,1,0,0,3,4,1,0,0,50.041666666666664,0.0,0.0
155869377766434_1887222924631062,0,0,0,0,0,0,0,1,6,0,2,0,50.31818181818182,0.0,0.0
155869377766434_1887187774634577,0,0,0,0,0,0,0,2,7,0,0,0,50.208333333333336,0.0,0.0
155869377766434_1887155047971183,0,0,0,2,1,0,0,0,7,0,1,0,50.205882352941174,0.0,1.0
155869377766434_1887127181307303,0,0,0,1,0,0,0,2,5,1,2,0,50.142857142857146,0.0,0.0
155869377766434_1887071781312843,0,0,0,0,1,0,0,2,6,0,1,0,50.214285714285715,1.0,0.0
155869377766434_1886963437990344,0,0,0,1,2,0,0,1,4,0,1,0,50.25,0.0,0.0
155869377766434_1886910064662348,0,0,0,0,1,0,0,1,5,0,1,0,50.333333333333336,0.0,0.0
155869377766434_1886859234667431,0,0,0,0,1,0,0,1,6,0,0,0,50.3,0.0,2.0
155869377766434_1886828528003835,0,0,0,0,1,0,0,1,7,0,1,0,50.23529411764706,0.0,0.0
155869377766434_1886770628009625,0,0,0,0,1,0,0,1,6,0,1,0,50.35,0.0,0.0
155869377766434_1886739808012707,0,0,0,0,1,1,0,1,7,0,0,0,50.26923076923077,1.0,1.0
155869377766434_1886705474682807,0,0,0,0,0,0,0,0,6,0,0,0,50.42857142857143,1.0,1.0
155869377766434_1886634608023227,0,0,0,0,1,0,0,3,4,0,2,0,50.166666666666664,0.0,2.0
155869377766434_1886593138027374,0,0,0,0,2,0,0,1,5,1,1,0,50.26923076923077,0.0,2.0
155869377766434_1886577998028888,0,0,0,1,2,0,0,1,4,0,0,0,50.22222222222222,1.0,0.0
155869377766434_1886564381363583,0,0,0,0,0,0,0,2,5,0,1,0,50.2,0.0,0.0
155869377766434_1886524034700951,0,0,0,1,1,0,0,2,5,0,1,0,50.15384615384615,0.0,0.0
155869377766434_1886463774706977,0,0,0,0,1,0,0,2,7,0,1,0,50.19444444444444,1.0,0.0
