status_id,lexical_richness,lexical_density,avg_word_length,flesch_reading_ease,length_of_line,compound_sentiment,positive_sentiment,negative_sentiment,num_hyperbolic_words,avg_sentence_length,clickbait_words_count,starts_with_number,starts_with_adverb,count_adverbs,count_adjectives,count_superlatives,count_uppercase,count_verbs,count_nouns,count_pronouns,count_prepositions,count_interjections,formality_measure,positive_sentiment_words,negative_sentiment_words
15704546335_10154531271586336,1.0,0.8,5.2,61.33,61,0.0,0.0,0.0,0,61.0,0,0,0,0,0,0,0,2,6,0,1,0,50.22727272727273,0.0,0.0
15704546335_10154530676851336,1.0,0.875,4.25,71.82,41,0.0,0.0,0.0,0,41.0,0,0,0,0,0,0,0,0,7,0,0,0,50.44444444444444,0.0,0.0
15704546335_10154530947486336,1.0,0.8571428571428571,5.571428571428571,81.29,45,0.0,0.0,0.0,0,45.0,0,0,0,0,0,0,0,0,6,0,0,0,50.375,0.0,0.0
15704546335_10154530667311336,1.0,0.8571428571428571,5.571428571428571,40.34,91,-0.0516,0.172,0.237,0,91.0,0,0,0,0,1,0,0,1,10,0,2,0,50.333333333333336,1.0,2.0
15704546335_10154530467076336,1.0,0.7272727272727273,5.090909090909091,68.77,66,0.7783,0.527,0.0,0,66.0,0,0,0,0,2,0,0,1,5,0,1,0,50.333333333333336,3.0,0.0
15704546335_10154530419251336,1.0,0.9,6.9,27.49,78,-0.3182,0.096,0.209,0,78.0,0,0,0,0,1,0,0,1,6,0,2,0,50.285714285714285,1.0,1.0
15704546335_10154529638946336,1.0,0.875,5.8125,38.31,108,-0.5106,0.0,0.191,0,108.0,0,0,0,0,0,0,0,2,12,0,1,0,50.27272727272727,0.0,1.0
15704546335_10154528153026336,0.8181818181818182,0.7272727272727273,5.636363636363637,60.31,72,0.5106,0.248,0.0,0,72.0,0,0,0,0,0,0,0,2,7,0,0,0,50.166666666666664,1.0,0.0
15704546335_10154528614086336,1.0,0.9230769230769231,5.923076923076923,58.28,89,0.0258,0.084,0.0,0,89.0,0,0,0,0,0,0,0,2,10,0,1,0,50.26470588235294,1.0,0.0
15704546335_10154528156736336,0.9285714285714286,0.7142857142857143,4.071428571428571,82.65,70,-0.296,0.0,0.155,0,70.0,0,0,0,0,0,0,0,2,8,0,1,0,50.266666666666666,0.0,1.0
15704546335_10154529436586336,1.0,0.8,6.3,69.79,72,0.4574,0.272,0.0,0,35.5,0,0,0,1,1,0,0,1,6,0,0,0,50.166666666666664,1.0,0.0
15704546335_10154529003986336,1.0,0.8888888888888888,8.0,7.69,80,-0.4019,0.0,0.252,0,39.5,0,0,0,0,1,0,0,1,6,0,0,0,50.2,0.0,1.0
15704546335_10154528972646336,1.0,0.8333333333333334,5.083333333333333,67.76,72,0.1779,0.196,0.15,0,72.0,0,0,0,0,0,0,0,1,9,0,2,0,50.38461538461539,1.0,1.0
15704546335_10154529367466336,1.0,0.875,6.75,54.9,61,0.7125,0.413,0.0,0,61.0,0,0,0,0,0,0,0,1,6,0,1,0,50.3,1.0,0.0
15704546335_10154529720186336,1.0,0.7272727272727273,5.2727272727272725,77.23,68,-0.7579,0.0,0.419,0,68.0,0,0,0,0,0,0,0,1,7,0,3,0,50.34615384615385,0.0,2.0
15704546335_10154529605911336,1.0,0.875,5.25,54.9,49,0.2732,0.283,0.186,0,49.0,0,0,0,0,0,0,0,1,5,0,0,0,50.27777777777778,1.0,1.0
15704546335_10154529265916336,1.0,0.8888888888888888,6.333333333333333,45.42,65,-0.34,0.0,0.231,0,65.0,0,0,0,0,0,0,0,0,8,0,1,0,50.45,0.0,1.0
15704546335_10154528621781336,1.0,1.0,4.888888888888889,70.8,52,0.4939,0.286,0.0,0,52.0,0,0,0,0,1,0,0,0,6,1,1,0,50.35,1.0,0.0
15704546335_10154529190936336,1.0,0.7777777777777778,5.333333333333333,70.8,56,0.0,0.0,0.0,0,56.0,0,0,0,0,0,0,0,0,7,0,1,0,50.4,0.0,0.0
15704546335_10154528582486336,1.0,1.0,7.0,72.83,55,-0.1027,0.0,0.189,0,55.0,0,0,0,0,0,0,0,0,7,0,0,0,50.4375,0.0,1.0
15704546335_10154528205551336,1.0,1.0,6.7,36.96,76,0.0,0.0,0.0,0,76.0,0,0,0,0,1,0,0,1,6,0,0,0,50.291666666666664,0.0,0.0
15704546335_10154527720471336,1.0,0.8,5.2,69.79,61,0.0,0.0,0.0,0,61.0,0,0,0,0,0,0,0,0,7,0,3,0,50.45454545454545,0.0,0.0
15704546335_10154525741336336,1.0,0.75,6.0,67.42,55,-0.34,0.0,0.255,0,55.0,0,0,0,0,0,0,0,0,7,0,1,0,50.333333333333336,0.0,1.0
15704546335_10154525685351336,1.0,0.8181818181818182,6.090909090909091,51.85,77,0.0258,0.193,0.186,0,77.0,0,0,0,0,0,0,0,2,6,1,2,0,50.15625,1.0,1.0
15704546335_10154525435241336,1.0,0.8461538461538461,6.769230769230769,15.98,100,-0.7717,0.102,0.442,0,100.0,0,0,0,0,0,0,0,0,12,0,1,0,50.3421052631579,1.0,3.0
15704546335_10154525688581336,1.0,0.9090909090909091,6.181818181818182,43.39,78,-0.6705,0.0,0.31,0,78.0,0,0,0,0,0,0,0,0,10,0,1,0,50.42307692307692,0.0,1.0
15704546335_10154525692501336,1.0,0.875,5.25,105.66,49,-0.7269,0.0,0.504,0,49.0,0,0,0,0,0,0,0,2,6,0,0,0,50.166666666666664,0.0,2.0
15704546335_10154525696841336,1.0,0.7272727272727273,4.636363636363637,85.69,61,0.0,0.0,0.0,0,61.0,0,0,0,1,0,0,0,0,8,0,1,0,50.28125,0.0,0.0
15704546335_10154525956446336,1.0,1.0,7.6,10.56,85,0.0,0.0,0.0,0,85.0,0,0,0,0,0,0,0,0,8,0,2,0,50.357142857142854,0.0,0.0
15704546335_10154525439661336,1.0,0.9090909090909091,5.363636363636363,85.69,69,-0.7964,0.0,0.441,0,69.0,0,0,0,0,0,0,0,2,7,1,1,0,50.15625,0.0,2.0
15704546335_10154525818116336,1.0,0.8888888888888888,7.0,45.42,71,0.0,0.0,0.0,0,71.0,0,0,0,0,0,0,0,0,9,0,0,0,50.333333333333336,0.0,0.0
15704546335_10154521042471336,1.0,1.0,6.833333333333333,40.01,46,0.128,0.231,0.0,0,46.0,0,0,0,0,1,0,0,0,5,0,1,0,50.35,1.0,0.0
15704546335_10154525466051336,1.0,0.7272727272727273,6.454545454545454,26.47,81,-0.802,0.0,0.506,0,81.0,0,0,0,0,1,0,0,1,7,0,2,0,50.28125,0.0,3.0
15704546335_10154526031106336,1.0,1.0,6.75,54.9,61,0.0,0.0,0.0,0,61.0,0,0,0,0,0,0,0,0,8,0,0,0,50.30769230769231,0.0,0.0
15704546335_10154525764501336,1.0,0.9,5.3,78.25,62,-0.5106,0.192,0.389,0,62.0,0,0,0,0,0,0,0,1,7,0,2,0,50.333333333333336,1.0,2.0
15704546335_10154525587756336,1.0,0.875,5.5,63.36,51,0.4019,0.278,0.0,0,51.0,0,0,0,1,1,0,0,0,5,0,1,0,50.27272727272727,1.0,0.0
15704546335_10154525356391336,1.0,1.0,7.363636363636363,26.47,91,0.0,0.0,0.0,0,91.0,0,0,0,0,0,0,0,2,8,0,1,0,50.205882352941174,0.0,0.0
15704546335_10154525337296336,1.0,0.8888888888888888,5.888888888888889,62.34,61,-0.891,0.0,0.639,0,61.0,0,0,0,0,0,0,0,1,6,0,2,0,50.291666666666664,0.0,3.0
15704546335_10154525339831336,1.0,0.8888888888888888,6.0,62.34,62,0.3182,0.223,0.0,0,62.0,0,0,0,0,0,0,0,0,7,0,2,0,50.45,1.0,0.0
15704546335_10154522890046336,1.0,0.9,4.8,78.25,57,-0.5267,0.0,0.274,0,57.0,0,0,0,0,0,0,0,1,6,1,2,0,50.25,0.0,1.0
15704546335_10154522806611336,1.0,0.7777777777777778,6.555555555555555,45.42,67,-0.5106,0.0,0.292,0,67.0,0,0,0,0,0,0,0,0,8,0,1,0,50.32142857142857,0.0,1.0
15704546335_10154523221941336,1.0,0.9166666666666666,6.25,50.84,86,-0.2584,0.0,0.156,0,86.0,0,0,0,1,1,1,0,0,11,0,1,0,50.333333333333336,1.0,0.0
15704546335_10154522977661336,1.0,0.9,9.3,10.56,102,-0.743,0.0,0.441,0,102.0,0,0,0,0,0,0,0,1,8,0,1,0,50.36363636363637,0.0,2.0
15704546335_10154522970881336,1.0,0.9,5.4,78.25,63,0.0,0.0,0.0,0,63.0,0,0,0,0,0,0,0,1,8,0,0,0,50.31818181818182,0.0,0.0
15704546335_10154522955056336,1.0,0.8333333333333334,4.916666666666667,84.68,70,0.5859,0.257,0.0,0,70.0,1,0,0,0,0,0,0,1,8,0,2,0,50.32142857142857,1.0,0.0
15704546335_10154523745336336,1.0,0.8888888888888888,6.222222222222222,62.34,64,0.0,0.0,0.0,0,31.5,0,0,0,1,0,0,0,0,8,0,1,0,50.285714285714285,0.0,0.0
15704546335_10154522975006336,1.0,1.0,6.6,35.95,75,-0.5267,0.0,0.274,0,75.0,0,0,0,1,1,0,0,2,6,0,1,0,50.17857142857143,0.0,1.0
15704546335_10154522863651336,1.0,0.8666666666666667,4.666666666666667,97.7,84,0.0,0.0,0.0,0,42.0,0,0,0,2,0,0,0,1,10,1,1,0,50.145833333333336,0.0,0.0
15704546335_10154523087646336,1.0,0.8888888888888888,7.0,20.04,71,0.128,0.158,0.0,0,71.0,0,0,0,0,1,0,0,0,8,0,1,0,50.38461538461539,1.0,0.0
15704546335_10154522955511336,1.0,0.8333333333333334,5.333333333333333,50.84,75,0.3182,0.248,0.0,0,75.0,0,0,0,0,0,0,0,1,9,0,0,0,50.34615384615385,2.0,0.0
15704546335_10154523714271336,1.0,1.0,6.181818181818182,51.85,78,-0.3612,0.0,0.2,0,78.0,0,1,0,0,0,0,0,0,10,0,0,0,50.357142857142854,0.0,1.0
15704546335_10154522938686336,1.0,0.8333333333333334,5.416666666666667,67.76,76,0.0,0.0,0.0,0,76.0,0,0,0,0,0,0,0,2,9,0,2,0,50.23684210526316,0.0,0.0
15704546335_10154522737241336,1.0,0.9090909090909091,6.0,34.93,76,-0.4404,0.161,0.28,0,76.0,0,0,0,0,0,0,0,3,6,0,1,0,50.208333333333336,1.0,1.0
15704546335_10154522825051336,1.0,0.8333333333333334,5.083333333333333,93.14,72,-0.6486,0.0,0.301,0,72.0,0,0,0,0,2,1,0,0,6,0,3,0,50.3235294117647,0.0,1.0
15704546335_10154522710616336,1.0,1.0,5.875,54.9,54,-0.7717,0.0,0.528,0,54.0,0,0,0,0,0,0,0,0,7,0,1,0,50.4,0.0,2.0
15704546335_10154522698356336,1.0,0.8333333333333334,5.75,76.22,80,0.1779,0.134,0.0,0,80.0,0,0,0,0,2,0,0,0,8,0,1,0,50.42857142857143,1.0,0.0
15704546335_10154520961821336,1.0,0.8888888888888888,5.555555555555555,62.34,58,0.0,0.0,0.0,0,58.0,0,0,0,0,1,0,0,0,7,0,0,0,50.4,0.0,0.0
15704546335_10154521277646336,0.9166666666666666,0.8333333333333334,5.25,67.76,74,-0.2023,0.0,0.141,0,74.0,0,0,0,0,0,0,0,1,8,0,0,0,50.25,0.0,1.0
